Features	Z-stat	p-val
40pm	0.3118131868131868	0.5765696670531635
40yo	6.093338012941539	0.0135692496121293
40yrs	0.3118131868131868	0.5765696670531635
41	1.3824129194205643	0.23969056664559774
4100	0.3118131868131868	0.5765696670531635
4111	0.3118131868131868	0.5765696670531635
412	0.3118131868131868	0.5765696670531635
4125	3.20704845814978	0.07332163858419319
415	0.03921188943215374	0.8430294770053507
418	0.3118131868131868	0.5765696670531635
41yo	0.08907478613268421	0.7653566848807438
42	4.36141501670136	0.0367617576383237
4200	0.6236263736263736	0.429702886455403
423	6.41409691629956	0.011321789228352705
425	0.3118131868131868	0.5765696670531635
42am	0.3118131868131868	0.5765696670531635
42f	3.20704845814978	0.07332163858419319
42min	0.3118131868131868	0.5765696670531635
42yo	0.6236263736263736	0.429702886455403
43	9.950032071452778	0.0016084659539277748
431	0.3118131868131868	0.5765696670531635
4374	0.3118131868131868	0.5765696670531635
43yo	0.03921188943215374	0.8430294770053507
44	2.1361186799355467	0.14386547653806608
44f	0.3118131868131868	0.5765696670531635
44yo	3.622137774120153	0.05701556570216705
45	0.14609367976265425	0.7022966830100051
450	0.7594308224814832	0.3835067039973348
4536	0.3118131868131868	0.5765696670531635
45am	2.8063186813186816	0.09389361358326936
45days	0.3118131868131868	0.5765696670531635
45mg	0.3118131868131868	0.5765696670531635
45pm	0.03921188943215374	0.8430294770053507
45yo	0.6057349405367026	0.43639821466642637
46	0.1363265636872225	0.7119605649623351
460	0.3118131868131868	0.5765696670531635
465	0.3118131868131868	0.5765696670531635
466	0.3118131868131868	0.5765696670531635
4673	0.3118131868131868	0.5765696670531635
46yo	1.5188616449629664	0.21779184160212853
47	4.414606402503836	0.03563249817053458
476	0.6236263736263736	0.429702886455403
47am	0.3118131868131868	0.5765696670531635
47yo	0.003341784867115266	0.9539014279451237
48	4.47077601180024	0.03447932870464592
480	0.15143373513417566	0.6971689777482954
4852	0.3118131868131868	0.5765696670531635
48hr	0.3118131868131868	0.5765696670531635
48k	0.3118131868131868	0.5765696670531635
48th	0.3118131868131868	0.5765696670531635
48yo	0.03921188943215374	0.8430294770053507
49	0.07482020504476715	0.7844436651936962
490	0.7594308224814832	0.3835067039973348
496	0.3118131868131868	0.5765696670531635
498	0.3118131868131868	0.5765696670531635
49yo	0.7594308224814832	0.3835067039973348
4cm	0.6236263736263736	0.429702886455403
4d	0.3118131868131868	0.5765696670531635
4e	0.6236263736263736	0.429702886455403
4hr	0.3118131868131868	0.5765696670531635
4hrs	0.6236263736263736	0.429702886455403
4k	0.3118131868131868	0.5765696670531635
4l	0.7594308224814832	0.3835067039973348
4mo	0.9354395604395604	0.3334534362617816
4pm	0.7958991571326375	0.3723222893338818
4ppl	0.3118131868131868	0.5765696670531635
4r	0.3118131868131868	0.5765696670531635
4th	0.42845645543883437	0.5127473155648692
4wks	3.20704845814978	0.07332163858419319
4x	0.3118131868131868	0.5765696670531635
4yo	0.15143373513417566	0.6971689777482954
4yrs	0.3118131868131868	0.5765696670531635
50	0.17282882315921938	0.6776098832544999
500	2.70425421947837	0.10008087330790615
5000	0.6236263736263736	0.429702886455403
505	0.3118131868131868	0.5765696670531635
50am	0.6236263736263736	0.429702886455403
50hrs	0.3118131868131868	0.5765696670531635
50k	0.3118131868131868	0.5765696670531635
50y	0.3118131868131868	0.5765696670531635
50yo	0.1670630214132417	0.6827352937363057
51	1.682575065353149	0.19458263802008086
514	0.3118131868131868	0.5765696670531635
5150	1.06003614593923	0.30320694104880763
517	0.3118131868131868	0.5765696670531635
51f	0.3118131868131868	0.5765696670531635
51yo	0.7269025027835601	0.39388905412955455
52	4.873300952596108	0.02727527936437751
5212	0.6236263736263736	0.429702886455403
523	0.3118131868131868	0.5765696670531635
52yo	0.03921188943215374	0.8430294770053507
53	0.01402511675144955	0.9057287900788427
5316	3.20704845814978	0.07332163858419319
539	3.20704845814978	0.07332163858419319
53yo	1.870879120879121	0.17137442666699626
54	0.22839765777541107	0.6327144947006764
540	0.7594308224814832	0.3835067039973348
548	0.3118131868131868	0.5765696670531635
54yo	0.3118131868131868	0.5765696670531635
54yr	0.3118131868131868	0.5765696670531635
55	1.0711411385970862	0.30068783184016334
553	3.0466690064707693	0.08090291644637876
55f	0.3118131868131868	0.5765696670531635
55yo	0.03921188943215374	0.8430294770053507
56	0.0034628414045416245	0.9530748390008673
5600	0.3118131868131868	0.5765696670531635
561	0.3118131868131868	0.5765696670531635
568	0.6236263736263736	0.429702886455403
56f	0.3118131868131868	0.5765696670531635
56yo	0.7269025027835601	0.39388905412955455
56yom	3.20704845814978	0.07332163858419319
57	0.02638385843231647	0.8709663910114543
57yo	3.622137774120153	0.05701556570216705
58	0.4487647360301067	0.5029221459474673
583	0.3118131868131868	0.5765696670531635
58f	0.6236263736263736	0.429702886455403
58yo	0.011893331827252558	0.913157634692942
59	1.043889048333667	0.3069187039880076
595	0.3118131868131868	0.5765696670531635
599	0.3118131868131868	0.5765696670531635
59f	0.3118131868131868	0.5765696670531635
59yo	0.1670630214132417	0.6827352937363057
59yrs	0.3118131868131868	0.5765696670531635
5a	0.3118131868131868	0.5765696670531635
5cc	0.3118131868131868	0.5765696670531635
5cm	0.3118131868131868	0.5765696670531635
5d	3.20704845814978	0.07332163858419319
5days	0.3118131868131868	0.5765696670531635
5hrs	0.15143373513417566	0.6971689777482954
5k	0.3118131868131868	0.5765696670531635
5mg	0.3118131868131868	0.5765696670531635
5mm	0.3118131868131868	0.5765696670531635
5mo	3.20704845814978	0.07332163858419319
5month	0.6236263736263736	0.429702886455403
5months	0.3118131868131868	0.5765696670531635
5mos	3.20704845814978	0.07332163858419319
5n	0.3118131868131868	0.5765696670531635
5pc51	3.20704845814978	0.07332163858419319
5pgs	0.3118131868131868	0.5765696670531635
5pm	0.6949494809784299	0.4044859635876623
5th	0.1670630214132417	0.6827352937363057
5yo	0.03921188943215374	0.8430294770053507
5yrs	0.6236263736263736	0.429702886455403
60	0.924503625189629	0.3362952392754947
600	0.9148918109545858	0.3388198002665324
6000	0.006683569734230532	0.9348430501245918
604	0.3118131868131868	0.5765696670531635
606	0.3118131868131868	0.5765696670531635
60days	0.3118131868131868	0.5765696670531635
60f	0.7594308224814832	0.3835067039973348
60k	0.3118131868131868	0.5765696670531635
60min	0.3118131868131868	0.5765696670531635
60yo	1.559065934065934	0.21180203789577648
61	6.311622390091555	0.011994902806334182
616	0.3118131868131868	0.5765696670531635
61yo	0.03921188943215374	0.8430294770053507
62	3.8218744767184862	0.05058761434469051
620	0.3118131868131868	0.5765696670531635
6201	0.3118131868131868	0.5765696670531635
62yo	0.07842377886430749	0.7794449299734257
62yr	0.3118131868131868	0.5765696670531635
63	5.231958295008955	0.02217555174338132
630	0.3118131868131868	0.5765696670531635
6337	0.6057349405367026	0.43639821466642637
6338	0.5607368264994917	0.4539635162548693
63yo	0.34747474048921495	0.555546110914962
64	0.6896597803811458	0.4062801261195076
642	0.3118131868131868	0.5765696670531635
644	0.3118131868131868	0.5765696670531635
64f	0.3118131868131868	0.5765696670531635
64yo	1.2472527472527473	0.2640778370524753
65	0.4221451301314324	0.5158686022383412
650	0.7594308224814832	0.3835067039973348
6500	6.41409691629956	0.011321789228352705
658	0.3118131868131868	0.5765696670531635
65f	0.3118131868131868	0.5765696670531635
65yo	1.4074924446227153	0.23547310808519217
66	2.70425421947837	0.10008087330790615
660	0.3118131868131868	0.5765696670531635
66yo	2.182692307692308	0.13957011917079878
67	0.38322555328640595	0.5358820102005646
670	0.3118131868131868	0.5765696670531635
678	0.3118131868131868	0.5765696670531635
67yo	0.3118131868131868	0.5765696670531635
68	0.08332218010891242	0.7728447776824255
68f	0.3118131868131868	0.5765696670531635
68yo	1.559065934065934	0.21180203789577648
69	1.1715007700174274	0.27909308716163916
69yo	0.3118131868131868	0.5765696670531635
6am	3.20704845814978	0.07332163858419319
6cfn	1.2472527472527473	0.2640778370524753
6cm	0.6236263736263736	0.429702886455403
6days	0.3118131868131868	0.5765696670531635
6hr	3.20704845814978	0.07332163858419319
6lbs	0.3118131868131868	0.5765696670531635
6mo	0.7958991571326375	0.3723222893338818
6months	0.3118131868131868	0.5765696670531635
6of	0.3118131868131868	0.5765696670531635
6pm	0.6236263736263736	0.429702886455403
6th	3.0466690064707693	0.08090291644637876
6w	0.3118131868131868	0.5765696670531635
6weeks	0.3118131868131868	0.5765696670531635
6yo	6.41409691629956	0.011321789228352705
6yrs	0.3118131868131868	0.5765696670531635
70	1.03281180608321	0.3094991690589639
700	2.135962644969882	0.143880114880471
7000	0.15143373513417566	0.6971689777482954
70f	0.3118131868131868	0.5765696670531635
70k	0.3118131868131868	0.5765696670531635
70yo	6.41409691629956	0.011321789228352705
71	6.609261617920285	0.010144971884752026
711	0.3118131868131868	0.5765696670531635
713	0.3118131868131868	0.5765696670531635
714	0.3118131868131868	0.5765696670531635
71f	0.3118131868131868	0.5765696670531635
71yo	0.6236263736263736	0.429702886455403
71yof	0.3118131868131868	0.5765696670531635
72	4.152251604952742	0.0415791998436794
720	0.3118131868131868	0.5765696670531635
722	0.3118131868131868	0.5765696670531635
723	0.6236263736263736	0.429702886455403
7277	0.3118131868131868	0.5765696670531635
72f	0.3118131868131868	0.5765696670531635
72hrs	0.3118131868131868	0.5765696670531635
72yo	0.9354395604395604	0.3334534362617816
73	2.387697471397912	0.12229363548248479
73yo	0.6236263736263736	0.429702886455403
74	1.362903616207581	0.24303489280476134
74wh	3.20704845814978	0.07332163858419319
74yo	0.9354395604395604	0.3334534362617816
75	0.01927325382033531	0.8895859529140162
750	1.2472527472527473	0.2640778370524753
7500	0.3118131868131868	0.5765696670531635
751	0.3118131868131868	0.5765696670531635
75f	0.3118131868131868	0.5765696670531635
75y	0.3118131868131868	0.5765696670531635
75yo	1.2472527472527473	0.2640778370524753
75yr	0.3118131868131868	0.5765696670531635
76	0.00073219731810041	0.9784125605335476
7631	0.6236263736263736	0.429702886455403
7632	3.20704845814978	0.07332163858419319
766	0.3118131868131868	0.5765696670531635
76yo	1.2472527472527473	0.2640778370524753
77	0.03567999548175762	0.8501778624973784
770	0.3118131868131868	0.5765696670531635
7713	0.3118131868131868	0.5765696670531635
777	0.6236263736263736	0.429702886455403
778	0.3118131868131868	0.5765696670531635
77yo	0.3118131868131868	0.5765696670531635
78	0.07740749280860566	0.780841931855675
784	0.3118131868131868	0.5765696670531635
788	0.3118131868131868	0.5765696670531635
78ca	3.20704845814978	0.07332163858419319
78yo	0.3118131868131868	0.5765696670531635
79	0.5011890642397252	0.478978123127763
795	3.20704845814978	0.07332163858419319
799	0.3118131868131868	0.5765696670531635
79f	0.3118131868131868	0.5765696670531635
79yo	0.6236263736263736	0.429702886455403
7cfn	0.3118131868131868	0.5765696670531635
7days	3.20704845814978	0.07332163858419319
7mo	6.41409691629956	0.011321789228352705
7pills	0.3118131868131868	0.5765696670531635
7pm	0.5044299566919016	0.4775600780202488
7th	3.0466690064707693	0.08090291644637876
7thof	0.3118131868131868	0.5765696670531635
7yo	0.9354395604395604	0.3334534362617816
7yr	3.20704845814978	0.07332163858419319
7yrs	0.7594308224814832	0.3835067039973348
80	0.22829676536047286	0.6327896372219517
800	1.352127109739185	0.2449065966053542
8000	3.20704845814978	0.07332163858419319
802	6.41409691629956	0.011321789228352705
80f	0.7594308224814832	0.3835067039973348
80s	0.7594308224814832	0.3835067039973348
80th	0.3118131868131868	0.5765696670531635
81	0.15684755772861497	0.6920756352720032
811	3.20704845814978	0.07332163858419319
818g	3.20704845814978	0.07332163858419319
81yo	0.3118131868131868	0.5765696670531635
82	0.7958991571326375	0.3723222893338818
8255	0.15143373513417566	0.6971689777482954
8295	0.3118131868131868	0.5765696670531635
82yo	3.20704845814978	0.07332163858419319
83	0.006683569734230532	0.9348430501245918
8313	0.3118131868131868	0.5765696670531635
832	0.3118131868131868	0.5765696670531635
8342	0.3118131868131868	0.5765696670531635
84	0.18955108767884082	0.6632905061988942
840	3.20704845814978	0.07332163858419319
844	0.3118131868131868	0.5765696670531635
85	3.741758241758242	0.05306857498971034
858	0.6236263736263736	0.429702886455403
86	0.21422822771941719	0.6434733562336061
866	0.3118131868131868	0.5765696670531635
8697	3.20704845814978	0.07332163858419319
86yo	0.3118131868131868	0.5765696670531635
87	0.7269025027835601	0.39388905412955455
870	3.20704845814978	0.07332163858419319
871	0.3118131868131868	0.5765696670531635
873	3.20704845814978	0.07332163858419319
87yo	0.3118131868131868	0.5765696670531635
88	0.3118131868131868	0.5765696670531635
886	3.20704845814978	0.07332163858419319
888	0.3118131868131868	0.5765696670531635
89	0.15143373513417566	0.6971689777482954
890	0.3118131868131868	0.5765696670531635
8949	0.3118131868131868	0.5765696670531635
897	3.20704845814978	0.07332163858419319
898	0.3118131868131868	0.5765696670531635
89f	0.3118131868131868	0.5765696670531635
8am	3.622137774120153	0.05701556570216705
8cm	0.7594308224814832	0.3835067039973348
8l	0.9354395604395604	0.3334534362617816
8nicu	0.3118131868131868	0.5765696670531635
8pm	0.15143373513417566	0.6971689777482954
